Id	Entry	Left	Right	LeftStoich	RightStoich
1716093	META:RXN-4303	1572800 1611946 1547600	1570608 1547363	1.0 1.0 1.0	1.0 1.0
1716095	META:1.2.7.6-RXN	1615950 1543485 1583219	1615946 1572800 1539056	2.0 1.0 1.0	2.0 2.0 1.0
1716098	META:RXN-4306	1569568 1547370 1583219	1547453 1572800 1610854	1.0 1.0 1.0	1.0 3.0 1.0
1716099	META:RXN-4305	1547600 1610535	1570608 1547370	1.0 1.0	1.0 1.0
1716100	META:RXN-4301	1581124 1583219	1572097	1.0 -1.0	-1.0
1716103	META:LINOLENOYL-RXN	1610007 1611946 1562255	1570608 1611144 1598479	1.0 1.0 1.0	1.0 1.0 1.0
1716106	META:2.7.11.12-RXN	1611946 1615894	1610535 1616258	1.0 1.0	1.0 1.0
1716108	META:HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN	1588786	1572576 1569079	1.0	1.0 1.0
1716113	META:SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN	1577915 1598658	1543827 1597190	1.0 1.0	1.0 1.0
1716116	META:DICHLOROMUCONATE-CYCLOISOMERASE-RXN	1567010	1572800 1562933	1.0	1.0 1.0
1716119	META:AMINOGLYCOSIDE-N6-ACETYLTRANSFERASE-RXN	1613189 1572576	1562255 1572800 1555974	1.0 1.0	1.0 1.0 1.0
1716125	META:2.1.1.105-RXN	1597028 1590846	1541356 1581735 1572800	1.0 1.0	1.0 1.0 1.0
1716128	META:Unclassified-Reactions				
1716129	META:LACTOSE-6-PHOSPHATE-ISOMERASE-RXN	1605597	1584726	1.0	1.0
1716132	META:ALANOPINE-DEHYDROGENASE-RXN	1558095 1583219 1563457	1572800 1559642 1610842 1586812	1.0 1.0 1.0	1.0 1.0 1.0 1.0
1716136	META:R7-RXN	1553889 1562255	1599491 1572576	1.0 1.0	1.0 1.0
