ModelEntityId	EntityType	ClusterEntry	ClusterId
1819515	ModelReaction	mrxn_137	432035
1757106	ModelReaction	mrxn_137	432035
1803743	ModelReaction	mrxn_137	432035
1818868	ModelReaction	mrxn_138	432032
1767703	ModelReaction	mrxn_138	432032
1810994	ModelReaction	mrxn_138	432032
1813260	ModelReaction	mrxn_138	432032
1808677	ModelReaction	mrxn_138	432032
1802614	ModelReaction	mrxn_138	432032
1805806	ModelReaction	mrxn_138	432032
1756515	ModelReaction	mrxn_138	432032
1798893	ModelReaction	mrxn_138	432032
1818721	ModelReaction	mrxn_139	432047
1818753	ModelReaction	mrxn_139	432047
1818719	ModelReaction	mrxn_140	432042
1818768	ModelReaction	mrxn_140	432042
1797716	ModelReaction	mrxn_141	432043
1764341	ModelReaction	mrxn_141	432043
1806660	ModelReaction	mrxn_141	432043
1767824	ModelReaction	mrxn_141	432043
1810503	ModelReaction	mrxn_141	432043
1757360	ModelReaction	mrxn_141	432043
1808829	ModelReaction	mrxn_141	432043
1813402	ModelReaction	mrxn_141	432043
1818818	ModelReaction	mrxn_141	432043
1803675	ModelReaction	mrxn_141	432043
1765494	ModelReaction	mrxn_142	432040
1765496	ModelReaction	mrxn_142	432040
1818646	ModelReaction	mrxn_143	432052
1818710	ModelReaction	mrxn_143	432052
1818652	ModelReaction	mrxn_143	432052
1818639	ModelReaction	mrxn_144	432048
1818716	ModelReaction	mrxn_144	432048
1818658	ModelReaction	mrxn_144	432048
1757485	ModelReaction	mrxn_145	432049
1809006	ModelReaction	mrxn_145	432049
1756726	ModelReaction	mrxn_145	432049
1806785	ModelReaction	mrxn_145	432049
1802817	ModelReaction	mrxn_145	432049
1809024	ModelReaction	mrxn_145	432049
1802819	ModelReaction	mrxn_145	432049
1818540	ModelReaction	mrxn_145	432049
1802818	ModelReaction	mrxn_145	432049
1806020	ModelReaction	mrxn_145	432049
1802820	ModelReaction	mrxn_145	432049
1803034	ModelReaction	mrxn_145	432049
1803036	ModelReaction	mrxn_145	432049
1763997	ModelReaction	mrxn_145	432049
1803035	ModelReaction	mrxn_145	432049
1803174	ModelReaction	mrxn_146	432062
1757664	ModelReaction	mrxn_146	432062
1814067	ModelReaction	mrxn_146	432062
1798793	ModelReaction	mrxn_146	432062
1806970	ModelReaction	mrxn_146	432062
1809299	ModelReaction	mrxn_146	432062
1768462	ModelReaction	mrxn_146	432062
1810538	ModelReaction	mrxn_147	432063
1810539	ModelReaction	mrxn_147	432063
1807025	ModelReaction	mrxn_148	432060
1809384	ModelReaction	mrxn_148	432060
1757719	ModelReaction	mrxn_148	432060
1808486	ModelReaction	mrxn_149	432061
1757155	ModelReaction	mrxn_149	432061
1757685	ModelReaction	mrxn_149	432061
1808982	ModelReaction	mrxn_149	432061
1806991	ModelReaction	mrxn_149	432061
1806456	ModelReaction	mrxn_149	432061
